zip,address,databaseID,price,bedrooms,bathroom,sqft,lat,lng,ancherRating,jamesRating,classification,source
16101,364-398-Rose-Point-Harlansburg-Rd-Slippery-Rock-Twp-PA-16101,5e7920301f19d194c8a0218a,519316,3,2,--,41.0004493,-80.1887472,rich,rich,rich,both
16101,110-E-Laurel-Ave-New-Castle-PA-16101,5e792a301f19d194c8a021b5,49900,3,2,1192,41.0096226,-80.3452659,medium,medium,medium,both
16101,1399-State-Rd-(RT388)-Shenango-Twp-PA-16101,5e792e9f1f19d194c8a021cb,249000,4,3,--,40.9645065,-80.2678598,rich,rich,rich,both
16101,2006-Harbor-Edinburg-Rd-New-Castle-PA-16101,5e7922e41f19d194c8a02196,499900,5,1,1814,41.034081,-80.405157,rich,rich,rich,both
16101,85-S-Lee-Ave-New-Castle-PA-16101,5e791de31f19d194c8a0217f,45000,2,1,864,40.9948837,-80.3627113,medium,medium,medium,both
16101,251-Elmwood-St-New-Castle-PA-16101,5e7932961f19d194c8a021dd,49900,3,2,1232,40.9871912,-80.3572844,medium,medium,medium,both
16101,62-Links-Dr-New-Castle-PA-16101,5e792ba51f19d194c8a021bd,142900,2,3,1340,40.9642847,-80.2980709,rich,rich,rich,both
16101,1008-Dushane-St-New-Castle-PA-16101,5e7932321f19d194c8a021db,49500,3,2,1500,40.9890813,-80.3350841,medium,medium,medium,both
16101,1399-State-Rd-(RT388)-Shenango-Twp-Law-PA-16101,5e792c2f1f19d194c8a021c0,249000,4,3,--,40.9645065,-80.2678598,rich,rich,rich,both
16101,19-Links-Dr-New-Castle-PA-16101,5e792aea1f19d194c8a021b9,159000,3,2,1156,40.963531,-80.297741,rich,rich,rich,both
16101,337-Kittery-Ridge-Dr-D-New-Castle-PA-16101,5e792fdf1f19d194c8a021d0,189900,2,2,--,40.961803,-80.3056316,rich,rich,rich,both
16101,364-398-Rose-Point-Harlansburg-Rd-Slippery-Rock-Twp-Law-PA-16101,5e791fe11f19d194c8a02189,519316,3,2,--,41.0004493,-80.1887472,rich,rich,rich,both
16101,1032-Butler-Ave-New-Castle-PA-16101,5e792ee41f19d194c8a021cc,49900,3,1,946,40.9927627,-80.3258259,medium,medium,medium,both
16101,608-Grandview-Ave-New-Castle-PA-16101,5e9d6a4c590ccc52909b8c79,55000,2,1,858,40.9981555,-80.3737596,medium,medium,medium,both
16101,1511-Ridge-Ave-New-Castle-PA-16101,5e7923501f19d194c8a02198,155000,3,2,1255,41.0044878,-80.3714978,rich,rich,rich,both
16101,1504-Wilson-Ave-New-Castle-PA-16101,5e791ea51f19d194c8a02183,59000,3,2,1510,40.9827773,-80.3335176,medium,medium,medium,both
16101,337-Kittery-Ridge-Dr-B-New-Castle-PA-16101,5e7934e61f19d194c8a021e8,189900,2,2,--,40.961803,-80.3056316,rich,rich,rich,both
16101,804-Wilmington-Ave-New-Castle-PA-16101,5e79343e1f19d194c8a021e4,55000,3,1,1218,41.0099474,-80.3486595,medium,medium,medium,both
16101,515-Waldo-St-New-Castle-PA-16101,5e7926861f19d194c8a021a5,29900,3,1,1344,40.9852421,-80.3385456,poor,poor,poor,both
16101,308-Phillips-St-New-Castle-PA-16101,5e79284d1f19d194c8a021ab,18500,4,3,1884,40.9881728,-80.3419156,poor,poor,poor,both
16101,417-Uber-St-New-Castle-PA-16101,5e9d6d8a590ccc52909b8c8a,24000,4,2,1440,40.9904442,-80.3401316,poor,poor,poor,both
16101,923-Clarence-Ave-New-Castle-PA-16101,5e791b001f19d194c8a02173,67500,2,1,600,40.9825731,-80.3213759,rich,rich,rich,both
16101,1026-Warren-Ave-New-Castle-PA-16101,5e7924431f19d194c8a0219d,39000,2,1,725,40.9856476,-80.3198527,poor,poor,poor,both
16101,131-Links-Dr-New-Castle-PA-16101,5e792e741f19d194c8a021ca,162500,3,2,1409,40.963135,-80.299214,rich,rich,rich,both
16101,715-City-Line-St-New-Castle-PA-16101,5e7931281f19d194c8a021d7,69900,3,2,--,40.9800878,-80.3321416,rich,rich,rich,both
16101,826-Butler-Ave-New-Castle-PA-16101,5e7931731f19d194c8a021d8,49900,2,1,567,40.9935683,-80.3294705,medium,medium,medium,both
